StudentID,YearLevel,School,EQID,FirstName,LastName,DateOfBirth,DateOfBirthRaw,IndigenousStatus,OtherLanguage,Sex,Class,PSI
444721933,7,21219,6150,Barry,Manders,2009-07-06,2009-07-06,1,1201,1,7B,R100000185G
641342585,7,21217,26125,Lydia,Thompson,2009-05-10,2009-05-10,1,7100,2,7F,R100000146M
943780521,9,21218,93938,Barry,Lewis,2009-06-23,2009-06-23,3,1201,1,9B,R100000157E
434117401,9,21219,64104,Rory,Santoyo,2009-03-09,2009-03-09,3,1201,1,9F,R100000192P
822404131,5,21215,47525,Stevie,Ussery,2009-12-21,2009-12-21,2,1201,1,5C,R100000080R
327855067,9,21220,25110,Angela,Diaz,2009-04-15,2009-04-15,1,1201,2,9C,R100000217K
685311639,5,21221,71341,Erica,Fulton,2009-06-16,2009-06-16,1,1201,2,5F,R100000240R
340433409,3,21215,82404,Jessie,Carlton,2009-06-26,2009-06-26,3,5203,1,3B,R100000087H
402173859,3,21217,79336,Caitlin,Beam,2009-01-03,2009-01-03,4,1201,2,3F,R100000125P
10837212,9,21216,2791,Lynn,Gallagher,2009-11-08,2009-11-08,3,1201,1,9E,R100000109G
430438093,3,21221,56524,Dorie,Tibbitts,2009-10-06,2009-10-06,1,1201,2,3B,R100000227G
61184023,5,21212,82149,Judith,Spangler,2009-12-03,2009-12-03,4,1201,2,5F,R100000019K
564353838,9,21218,71515,Dot,Goering,2009-12-20,2009-12-20,2,1201,2,9E,R100000171G
477249064,7,21216,97909,Pablo,Darling,2009-09-01,2009-09-01,4,1201,1,7B,R100000105H
788534120,9,21219,41382,Rita,Bingham,2009-07-02,2009-07-02,1,1201,2,9B,R100000199K
417330656,5,21213,55069,Jim,Brown,2009-01-14,2009-01-14,4,1201,1,5A,R100000048G
25072537,7,21221,58801,Vera,Johnson,2009-01-03,2009-01-03,3,1201,2,7F,R100000232G
496457483,3,21217,12289,Colette,Dodd,2009-08-03,2009-08-03,2,1201,2,3B,R100000148H
381224207,3,21217,60363,Vanessa,Bubb,2009-09-08,2009-09-08,1,2201,2,3E,R100000147G
575358325,7,21220,35236,Ethel,Ellerman,2009-08-10,2009-08-10,4,1201,2,7C,R100000210P
605628993,3,21212,60641,Lloyd,Kirkland,2009-01-09,2009-01-09,3,1201,1,3B,R100000004R
209737245,3,21214,85073,Miriam,Ventimiglia,2009-01-11,2009-01-11,3,1201,2,3E,R100000069P
947420789,3,21221,27525,Elvis,Lopez,2009-10-28,2009-10-28,3,1201,1,3D,R100000238D
696159850,9,21218,40765,Chrystal,Pearson,2009-06-12,2009-06-12,2,5203,2,9A,R100000156K
842856266,3,21212,89780,Trenton,Vickery,2009-08-27,2009-08-27,4,1201,1,3C,R100000024K
912369050,3,21215,99001,Sharonda,Sloan,2009-11-26,2009-11-26,2,1201,2,3E,R100000089A
366375982,3,21213,92372,Jesse,Warrick,2009-11-21,2009-11-21,2,1201,1,3D,R100000038K
766731912,3,21214,84578,Kellie,Sherman,2009-07-22,2009-07-22,2,1201,2,3D,R100000071M
192409105,7,21216,69612,Lucas,Huggins,2009-10-27,2009-10-27,4,1201,1,7A,R100000114G
491481562,9,21216,58751,Everett,Miguel,2009-06-14,2009-06-14,3,1201,1,9A,R100000107A
478468366,5,21214,27262,Pierre,Brawley,2009-02-28,2009-02-28,2,1201,1,5A,R100000057K
996421153,3,21213,14671,Mattie,Taylor,2009-02-25,2009-02-25,3,1201,2,3B,R100000034G
749836672,9,21216,94141,Antone,Hall,2009-01-27,2009-01-27,1,1201,1,9E,R100000108M
756107976,9,21219,91177,Mack,Huggins,2009-07-23,2009-07-23,1,9601,1,9F,R100000179R
891208554,7,21220,20002,Darren,Brown,2009-01-11,2009-01-11,4,1201,1,7D,R100000218E
772546884,3,21213,44919,Sara,Gist,2009-09-22,2009-09-22,1,1201,2,3B,R100000047M
198273077,5,21216,41888,Kristin,Baker,2009-03-05,2009-03-05,3,9601,2,5D,R100000113M
213211247,7,21218,32862,Jared,Varela,2009-05-20,2009-05-20,2,1201,1,7A,R100000163D
465705203,9,21219,21486,Marc,Foster,2009-04-02,2009-04-02,3,1201,1,9A,R100000197S
540268370,3,21214,44153,Salvador,Romano,2009-03-17,2009-03-17,4,1201,1,3A,R100000072G
969220439,3,21217,70256,Brock,Smith,2009-04-13,2009-04-13,4,1201,1,3B,R100000132M
222625718,3,21214,6454,Miranda,Bradley,2009-01-16,2009-01-16,1,9601,2,3B,R100000052M
933260619,7,21221,28063,Adan,Raap,2009-08-16,2009-08-16,2,5203,1,7B,R100000236K
402023619,3,21212,83272,Pattie,Davis,2009-06-22,2009-06-22,2,1201,2,3F,R100000008A
188250194,5,21215,91421,Carlos,Mcdaniel,2009-01-28,2009-01-28,1,5203,1,5C,R100000094A
774111723,5,21214,20984,Kevin,Lachance,2009-12-22,2009-12-22,4,1201,1,5B,R100000059D
951895034,7,21221,66025,Kelsey,Rudder,2009-10-19,2009-10-19,4,1201,2,7C,R100000249A
520369196,7,21220,98738,Angel,Tillman,2009-10-23,2009-10-23,3,1201,2,7C,R100000201S
937352317,3,21217,21002,Wayne,Holmes,2009-01-02,2009-01-02,3,1201,1,3F,R100000126A
954748572,5,21217,2084,Annabelle,Smith,2009-07-13,2009-07-13,2,2201,2,5B,R100000144D
419563912,7,21217,30864,Susana,Hatchett,2009-07-02,2009-07-02,2,1201,2,7E,R100000134H
910440016,5,21217,7053,Gay,Park,2009-02-28,2009-02-28,1,1201,2,5A,R100000133G
384397284,5,21214,84735,Belinda,Mitten,2009-09-25,2009-09-25,4,7100,2,5B,R100000064D
73385408,7,21216,19987,Eduardo,Thompson,2009-09-23,2009-09-23,1,1201,1,7C,R100000117R
855487884,3,21213,93785,Briana,Scott,2009-04-04,2009-04-04,3,1201,2,3E,R100000041S
828739037,5,21214,22183,Terrance,Smith,2009-07-06,2009-07-06,1,1201,1,5C,R100000070A
554661825,7,21220,63890,Jody,Mccaffrey,2009-09-05,2009-09-05,3,1201,2,7F,R100000208G
557824343,7,21216,6912,Pearl,Pulliam,2009-01-07,2009-01-07,3,1201,2,7B,R100000110H
812451070,5,21212,53346,Susana,Hill,2009-10-18,2009-10-18,1,1201,2,5E,R100000000K
624650841,5,21212,8624,Jimmie,Williams,2009-09-05,2009-09-05,2,1201,1,5B,R100000012P
925430999,3,21212,12769,Leonor,Trevino,2009-08-17,2009-08-17,1,1201,2,3A,R100000020E
14040244,9,21219,59614,Mathew,Jennings,2009-03-20,2009-03-20,4,1201,1,9D,R100000176E
455745192,5,21214,29783,Latasha,Stewart,2009-02-01,2009-02-01,1,9601,2,5F,R100000061R
820681232,7,21220,44273,Willian,Phillips,2009-09-12,2009-09-12,3,1201,1,7A,R100000219D
684855136,3,21212,65777,Sally,Carr,2009-08-02,2009-08-02,1,1201,2,3E,R100000017S
360685193,7,21221,76440,Mickie,Smith,2009-10-26,2009-10-26,1,1201,2,7A,R100000247H
963412185,5,21221,3598,Mark,Fuquay,2009-07-11,2009-07-11,4,1201,1,5A,R100000248P
385371423,7,21220,65786,Anibal,Gratton,2009-12-08,2009-12-08,1,1201,1,7F,R100000200D
723237700,3,21217,99111,Tracy,Pritchett,2009-09-05,2009-09-05,4,1201,1,3A,R100000145A
72785717,5,21214,98773,Bobby,Davis,2009-01-04,2009-01-04,2,1201,2,5B,R100000050P
140397837,7,21215,86257,Bobbie,Welch,2009-03-06,2009-03-06,3,1201,2,7B,R100000084S
42576899,7,21219,26184,Vance,Burger,2009-03-21,2009-03-21,1,1201,1,7B,R100000180K
730559528,7,21219,47981,Tina,Silva,2009-07-10,2009-07-10,3,1201,2,7A,R100000186H
213949532,9,21218,76257,Melonie,Greenbaum,2009-06-13,2009-06-13,2,1201,2,9E,R100000155R
624504082,5,21212,24814,Nona,Martin,2009-06-09,2009-06-09,3,1201,2,5E,R100000023R
422061162,7,21220,17166,Melonie,Harris,2009-12-05,2009-12-05,3,1201,2,7E,R100000221R
897587571,3,21213,74138,Brigitte,Casey,2009-12-20,2009-12-20,4,1201,2,3C,R100000025H
153282012,7,21220,6147,Cora,Cooley,2009-05-08,2009-05-08,4,1201,2,7E,R100000214H
664875159,5,21213,63354,Laura,Million,2009-04-21,2009-04-21,3,1201,2,5F,R100000029G
824066061,7,21221,28463,Danna,Brandl,2009-08-19,2009-08-19,2,1201,2,7C,R100000237E
368200198,3,21213,77462,Amelia,Arroyo,2009-02-14,2009-02-14,4,1201,2,3E,R100000032A
118803037,3,21213,59738,Bryan,Browder,2009-09-05,2009-09-05,4,1201,1,3F,R100000033M
117672957,5,21215,21138,Glenn,Spangler,2009-06-05,2009-06-05,3,1201,1,5C,R100000079S
443441432,7,21217,96652,Adrian,Hatchett,2009-11-20,2009-11-20,3,1201,1,7B,R100000141R
750413097,7,21217,4424,Tisha,Lloyd,2009-10-15,2009-10-15,1,2201,2,7A,R100000130P
847017452,5,21221,73932,Johnathan,Dallas,2009-02-03,2009-02-03,2,1201,1,5F,R100000244S
3596939,9,21218,73241,Audry,Kummer,2009-12-18,2009-12-18,2,7100,2,9A,R100000152G
838740156,7,21218,83361,Nathan,Countess,2009-09-12,2009-09-12,1,1201,1,7B,R100000154P
502150920,3,21214,37839,Adam,Fitts,2009-12-20,2009-12-20,4,1201,1,3A,R100000055S
790764867,9,21218,87184,Annabelle,Howard,2009-05-10,2009-05-10,3,1201,2,9E,R100000165M
405246056,5,21216,39383,Luetta,Harrison,2009-12-03,2009-12-03,3,1201,2,5D,R100000120D
881111799,9,21220,36012,Kimberly,Rayl,2009-02-08,2009-02-08,4,1201,2,9A,R100000223E
332886320,7,21216,74776,Courtney,Harper,2009-08-01,2009-08-01,4,1201,2,7C,R100000124E
123271330,9,21219,69685,Jasper,Manders,2009-02-25,2009-02-25,2,1201,1,9E,R100000181E
693417314,3,21213,56336,Reiko,Condon,2009-11-02,2009-11-02,1,2201,2,3A,R100000039E
173885081,9,21216,56746,Gilbert,Roderick,2009-11-25,2009-11-25,1,1201,1,9F,R100000104K
215533833,9,21218,60707,Clay,Hedstrom,2009-05-09,2009-05-09,3,7100,1,9A,R100000164S
639404255,9,21219,21411,Wilton,Mcbride,2009-12-11,2009-12-11,4,1201,1,9B,R100000189M
519386903,9,21218,48638,Ryan,Messer,2009-07-06,2009-07-06,2,9601,1,9B,R100000159S
191846225,9,21219,71787,Ervin,Yamada,2009-11-24,2009-11-24,2,1201,1,9F,R100000196D
938696651,5,21216,22404,Geralyn,Willett,2009-04-06,2009-04-06,4,1201,2,5E,R100000103R
636164925,5,21212,62024,Beth,Cooper,2009-02-21,2009-02-21,4,1201,2,5F,R100000022S
61996937,7,21216,698,Roosevelt,Raap,2009-09-01,2009-09-01,1,1201,1,7F,R100000118K
208115536,7,21219,37847,Marge,Richardson,2009-08-11,2009-08-11,4,9601,2,7F,R100000182D
442186590,5,21213,78592,Felipe,Williams,2009-11-05,2009-11-05,1,1201,1,5D,R100000046A
98968203,7,21215,20670,Samuel,Carpenter,2009-09-08,2009-09-08,4,1201,1,7F,R100000097D
480454001,5,21212,91491,Boyce,Ferguson,2009-02-02,2009-02-02,1,7100,1,5D,R100000003S
451780512,3,21217,49352,Geraldine,Whitaker,2009-05-25,2009-05-25,2,1201,2,3F,R100000149P
280606363,9,21216,67953,Jess,Lee,2009-04-21,2009-04-21,2,1201,1,9D,R100000101D
913745090,9,21216,59765,Mack,Terrell,2009-05-02,2009-05-02,4,1201,1,9E,R100000100E
588674056,3,21213,26374,Roy,Gross,2009-06-06,2009-06-06,3,1201,1,3B,R100000043K
816387482,3,21214,56709,Shannon,Alvarez,2009-07-25,2009-07-25,3,1201,2,3D,R100000063E
596726414,5,21216,89217,Ronnie,Leblanc,2009-07-18,2009-07-18,1,1201,1,5A,R100000102S
677320433,3,21214,62371,James,Ashby,2009-05-05,2009-05-05,4,1201,1,3A,R100000056R
19038510,7,21219,32315,Rudy,Patton,2009-03-27,2009-03-27,2,1201,1,7A,R100000177D
456292396,3,21215,80746,Laurie,Harder,2009-04-22,2009-04-22,1,1201,2,3C,R100000093P
739477588,9,21219,25503,Anita,Guardado,2009-10-04,2009-10-04,2,1201,2,9B,R100000188A
827601145,7,21218,2492,Roger,Gallagher,2009-08-17,2009-08-17,3,1201,1,7C,R100000170M
787768836,7,21215,12235,Elsie,Cooper,2009-08-04,2009-08-04,2,1201,2,7F,R100000090M
311818401,7,21221,28400,Damaris,Hester,2009-12-27,2009-12-27,3,1201,2,7B,R100000241K
674837975,9,21221,57852,Mathew,Harder,2009-05-11,2009-05-11,2,1201,1,9D,R100000230A
914850904,7,21219,76708,Damaris,Garcia,2009-10-19,2009-10-19,1,1201,2,7F,R100000184R
6376495,3,21212,47124,Megan,Ramey,2009-07-12,2009-07-12,2,1201,2,3D,R100000007P
800854531,7,21218,13455,Clark,Freeman,2009-05-20,2009-05-20,2,1201,1,7B,R100000168P
476393126,5,21213,20544,Felipe,Barnes,2009-10-16,2009-10-16,2,1201,1,5F,R100000036S
594802339,9,21218,42562,Josefina,Rivera,2009-06-17,2009-06-17,1,1201,2,9C,R100000153H
76122982,7,21220,37090,Leo,Ivey,2009-12-21,2009-12-21,3,1201,1,7B,R100000220S
933615096,9,21217,57832,Harrison,Taylor,2009-10-01,2009-10-01,1,1201,1,9A,R100000131A
635834741,9,21218,44397,Irma,Lewis,2009-06-04,2009-06-04,2,1201,2,9C,R100000167H
884015462,7,21218,2844,Louie,Fitts,2009-04-23,2009-04-23,3,1201,1,7F,R100000158D
58516237,7,21217,96600,Allison,Warren,2009-03-17,2009-03-17,2,1201,2,7A,R100000139D
184642155,5,21221,59062,Randal,Collins,2009-01-11,2009-01-11,1,9601,1,5B,R100000246G
607167295,3,21217,63454,Delores,Wilcox,2009-08-23,2009-08-23,2,1201,2,3B,R100000143E
921262205,7,21219,77040,Preston,Mork,2009-11-22,2009-11-22,2,1201,1,7C,R100000178S
954343075,3,21221,39700,Kate,Brandl,2009-10-22,2009-10-22,1,1201,2,3B,R100000225A
874961867,3,21216,59200,Jamie,Frederick,2009-03-23,2009-03-23,1,1201,1,3B,R100000112A
747785155,7,21217,83976,Phyllis,Valverde,2009-03-26,2009-03-26,1,1201,2,7D,R100000137K
997556953,3,21213,19856,Miranda,Taylor,2009-04-13,2009-04-13,3,1201,2,3A,R100000026P
234302325,9,21218,29555,Eunice,Williams,2009-01-19,2009-01-19,3,1201,2,9A,R100000173P
107747224,7,21216,8490,Charlie,Bailey,2009-02-13,2009-02-13,3,1201,2,7E,R100000119E
208130465,9,21215,95393,Karl,Ventimiglia,2009-01-19,2009-01-19,4,1201,1,9C,R100000085M
745864299,5,21213,78608,Louie,Perkins,2009-02-07,2009-02-07,4,1201,1,5A,R100000049H
971054274,5,21214,64469,Ashley,Gordon,2009-11-23,2009-11-23,3,1201,2,5E,R100000065A
964692628,9,21218,61866,Rex,Dye,2009-03-16,2009-03-16,1,1201,1,9F,R100000161K
499366569,9,21220,44573,Charity,Plyler,2009-06-26,2009-06-26,4,1201,2,9C,R100000213G
207247806,9,21220,69869,Tony,Cooley,2009-09-03,2009-09-03,4,1201,1,9C,R100000204E
192085491,5,21216,24555,Julia,Story,2009-01-13,2009-01-13,1,1201,2,5B,R100000122R
936770252,3,21213,86806,Geri,Israel,2009-07-19,2009-07-19,1,1201,2,3D,R100000031P
184725944,3,21215,47209,Su,Buchanan,2009-07-18,2009-07-18,2,1201,2,3B,R100000091G
154543294,7,21220,3572,Richard,Guzman,2009-11-15,2009-11-15,1,1201,1,7A,R100000212M
798199675,9,21215,36067,John,Coward,2009-11-02,2009-11-02,2,7100,1,9B,R100000095K
588637840,7,21219,83732,Eleanor,Cooper,2009-12-04,2009-12-04,1,1201,2,7F,R100000187P
901431343,5,21214,72571,Rita,Ebner,2009-10-27,2009-10-27,4,1201,2,5E,R100000073H
297620849,3,21213,75629,Kym,Howton,2009-06-22,2009-06-22,4,1201,2,3E,R100000045P
439073665,5,21212,5274,Dominique,Howell,2009-11-07,2009-11-07,4,1201,2,5F,R100000014M
863957213,7,21221,93608,Alonzo,Christiansen,2009-02-20,2009-02-20,4,1201,1,7F,R100000242E
319048887,3,21221,28773,Shellie,Nagel,2009-12-11,2009-12-11,3,1201,2,3A,R100000239S
70232588,3,21214,788,Laurene,Ventimiglia,2009-02-01,2009-02-01,1,5203,2,3B,R100000067G
747044761,5,21215,11404,Beatrice,Connelly,2009-10-05,2009-10-05,2,1201,2,5E,R100000082E
668085738,7,21220,76681,Rex,Horton,2009-01-02,2009-01-02,3,1201,1,7E,R100000216R
297514420,7,21218,70148,Claude,Allen,2009-05-23,2009-05-23,1,1201,1,7B,R100000169A
549297543,9,21218,5067,Judi,Lloyd,2009-09-16,2009-09-16,3,1201,2,9C,R100000151M
804320309,9,21218,26118,Manuel,Hadley,2009-05-18,2009-05-18,2,1201,1,9D,R100000174A
600949416,5,21212,69691,Wilton,Buck,2009-11-08,2009-11-08,4,5203,1,5C,R100000015E
749764543,5,21221,43092,Sheree,Taylor,2009-02-07,2009-02-07,4,1201,2,5D,R100000243D
685952291,9,21219,39331,Alvin,Webb,2009-11-10,2009-11-10,4,5203,1,9C,R100000183S
500224274,7,21215,78733,Normand,Abbott,2009-09-02,2009-09-02,4,1201,1,7F,R100000078D
17572599,9,21221,94288,Jeanine,Robertson,2009-10-25,2009-10-25,4,1201,2,9A,R100000229P
872347538,5,21212,82106,Leroy,Beiler,2009-04-18,2009-04-18,1,1201,1,5E,R100000001E
796511436,7,21215,27856,Daniel,Keeton,2009-04-10,2009-04-10,3,1201,1,7B,R100000076K
912219902,3,21217,67053,Fannie,Spradley,2009-01-03,2009-01-03,4,2201,2,3F,R100000136R
799288106,3,21212,86217,Tiesha,Pharris,2009-01-14,2009-01-14,2,7100,2,3C,R100000016D
899750212,9,21218,92780,Juanita,Motley,2009-12-19,2009-12-19,2,5203,2,9E,R100000162E
880056195,5,21221,23005,Gerda,Pursley,2009-01-12,2009-01-12,1,1201,2,5E,R100000245M
691066350,9,21215,40756,Tracey,Wood,2009-08-03,2009-08-03,1,1201,2,9B,R100000077E
503927230,3,21214,76206,Emmett,Dison,2009-04-12,2009-04-12,2,1201,1,3A,R100000066M
744221821,7,21219,65639,Valentina,Hendricks,2009-12-16,2009-12-16,1,1201,2,7D,R100000191H
23518540,7,21220,81345,Santa,Pierce,2009-12-19,2009-12-19,4,1201,2,7A,R100000202R
867232991,3,21214,97422,Dora,Palm,2009-08-14,2009-08-14,2,7100,2,3D,R100000068H
165911230,3,21212,36482,Juli,Kent,2009-06-21,2009-06-21,4,1201,2,3D,R100000013A
31407761,5,21214,97211,Orville,Allred,2009-04-05,2009-04-05,4,1201,1,5B,R100000058E
348983856,9,21219,16685,Bobby,Echols,2009-01-07,2009-01-07,4,1201,1,9D,R100000194M
133472063,5,21215,50991,Elda,Luis,2009-12-02,2009-12-02,4,1201,2,5A,R100000075R
850988822,3,21216,15643,Travis,Hopper,2009-09-10,2009-09-10,2,1201,1,3A,R100000116S
438794451,3,21213,4942,Jeffery,Floyd,2009-08-05,2009-08-05,3,1201,1,3D,R100000040D
343362773,9,21220,71234,Beulah,Garcia,2009-12-10,2009-12-10,2,1201,2,9F,R100000205P
951674161,5,21212,75696,Genaro,Finch,2009-01-06,2009-01-06,4,1201,1,5E,R100000009M
237840113,7,21220,81646,Phyllis,Maurer,2009-01-23,2009-01-23,3,1201,2,7C,R100000224D
648654892,9,21218,83477,Ruben,Lane,2009-12-14,2009-12-14,4,1201,1,9C,R100000172H
948766497,9,21215,79013,Armando,Lieberman,2009-05-12,2009-05-12,2,1201,1,9D,R100000092H
60555998,7,21216,39384,Seth,Robertson,2009-09-10,2009-09-10,2,1201,1,7B,R100000123K
938798662,3,21213,46759,Maribel,Dixon,2009-10-18,2009-10-18,2,1201,2,3F,R100000027A
843681862,7,21219,25216,Benedict,Johnson,2009-02-22,2009-02-22,4,1201,1,7A,R100000195E
470222285,3,21213,56640,Sharon,Young,2009-05-10,2009-05-10,2,1201,2,3A,R100000044E
327244049,5,21217,32746,Diane,Sims,2009-10-08,2009-10-08,3,1201,2,5C,R100000138E
200021907,3,21213,48898,Jannie,Lee,2009-02-10,2009-02-10,3,1201,2,3B,R100000030H
619028703,9,21220,72765,Alfredo,Akbar,2009-04-07,2009-04-07,1,1201,1,9F,R100000215S
105664271,7,21220,54882,Mitchell,Bloom,2009-01-24,2009-01-24,1,1201,1,7F,R100000211A
282611052,5,21212,93457,Cordelia,Alvarado,2009-10-13,2009-10-13,4,1201,2,5B,R100000010G
443154971,9,21217,54467,Donte,Johnson,2009-03-07,2009-03-07,4,1201,1,9A,R100000127M
912208774,3,21212,68259,Gladis,Clemmer,2009-09-07,2009-09-07,3,1201,2,3F,R100000002D
821927062,5,21214,14874,Tomeka,Templeton,2009-05-28,2009-05-28,4,2201,2,5B,R100000074P
539010323,3,21214,44016,Ruth,Mah,2009-02-15,2009-02-15,4,1201,2,3D,R100000054H
621711852,7,21219,85235,Adriana,Webb,2009-09-20,2009-09-20,2,1201,2,7F,R100000175K
457520822,5,21212,95679,Hilda,Akbar,2009-07-03,2009-07-03,1,1201,2,5B,R100000005G
439271349,9,21215,31308,Wilson,Oates,2009-11-18,2009-11-18,1,1201,1,9A,R100000099R
823126537,9,21215,69579,Carolyn,Dallas,2009-07-11,2009-07-11,3,1201,2,9F,R100000083D
521388793,5,21214,87218,Tracey,Vasquez,2009-11-15,2009-11-15,4,1201,1,5A,R100000060S
343044931,5,21212,89220,Jonathon,Clevenger,2009-01-12,2009-01-12,1,1201,1,5E,R100000006H
493598277,3,21213,279,Camelia,Copeland,2009-07-08,2009-07-08,3,1201,2,3C,R100000037R
746926784,5,21213,26062,Grady,Staats,2009-03-14,2009-03-14,3,1201,1,5A,R100000028M
62853932,3,21214,83971,Marian,Crain,2009-12-21,2009-12-21,2,1201,2,3D,R100000062K
20896464,9,21219,52082,Lettie,Hawkins,2009-01-08,2009-01-08,2,1201,2,9E,R100000190G
105780998,9,21220,31243,Bruce,Bowles,2009-05-15,2009-05-15,1,5203,1,9D,R100000209H
565645348,7,21218,82809,Elda,Lake,2009-11-01,2009-11-01,3,1201,2,7C,R100000160R
